name,aliases,hash_id,current_affiliation,previous_affiliation,last_degree_affiliation,orcid_url,orcid,author_id,verified
Adalberto Vails,NA,e7009f70acacd0c1b21d1ad1d6a47053294a85e1,University of Oklahoma Health Sciences Center,NA,NA,NA,0000-0000-0000-00178,178,FALSE
Vilma Scherrer,NA,e6a7ea200122a2fbb952f83cf3458f5aa6ecc0fc,University of West Georgia,NA,NA,NA,0000-0000-0000-00179,179,FALSE
Tressie Scarpaci,NA,614c20e54894decb66d89c41fdf2509a76c48f40,Heart and Hand Teacher Education Program,NA,NA,NA,0000-0000-0000-00180,180,FALSE
Kirstin Luoto,NA,baf499e6cca5e6db4311c4974b103c00449ee897,Omega Graduate School,NA,NA,NA,0000-0000-0000-00181,181,FALSE
Carolina Gandrud,NA,4e6055412504551f438fe4834a6e04447bf98075,Automotive Dealership Institute,NA,NA,NA,0000-0000-0000-00182,182,FALSE
Dominick Agrela,NA,d82e030eca9a74501c0c6cfbc0cb104a18079d53,Los Angeles Mission College,NA,NA,NA,0000-0000-0000-00183,183,FALSE
Romelia Liewald,NA,b074664884be20a43d12b5a3c9add5cbfdb63c38,Dallas International University,NA,NA,NA,0000-0000-0000-00184,184,FALSE
Sebastian Digsby,NA,80d5edcc4e00e34cfb90fbc8f507254a13201290,Iowa Wesleyan University,NA,NA,NA,0000-0000-0000-00185,185,FALSE
Maile Bacak,NA,700097ec30386ea2c7343f3caa8ef3682051c2d1,Bellarmine University,NA,NA,NA,0000-0000-0000-00186,186,FALSE
Marketta Rodiquez,NA,82fea0b41d94a267f4fca3d84da30ea52d02a8a3,MILA Orlando,NA,NA,NA,0000-0000-0000-00187,187,FALSE
Efrain Mcglone,NA,c3751232d11348586a55a1e889e723106e547d54,Oral Roberts University,NA,NA,NA,0000-0000-0000-00188,188,FALSE
Melina Luallen,NA,ca3cdc05b6235d6b90ae843f243dcc91d36511b3,Mars Hill University,NA,NA,NA,0000-0000-0000-00189,189,FALSE
Ali Houska,NA,ba9ef38eb0cd71aba70164a43a25578f19580fac,Everest College - Anaheim,NA,NA,NA,0000-0000-0000-00190,190,FALSE
Ula Morello,NA,3fb596364ca7032482b214f128c814b8087dc05c,University of the South School of Theology,NA,NA,NA,0000-0000-0000-00191,191,FALSE
Alyssa Gius,NA,085f658a998d68014969f8aaec6da926d7ded8a3,Hispanic American College,NA,NA,NA,0000-0000-0000-00192,192,FALSE
Yasuko Mcconnel,NA,1842463301ff7a61ba2c9435d4ea33bd486ccae2,Navarro College,NA,NA,NA,0000-0000-0000-00193,193,FALSE
Rey Suszynski,NA,783e1f5ab938323c71e902ccf91f1645cf2e178a,Center of Advanced Therapeutics,NA,NA,NA,0000-0000-0000-00194,194,FALSE
Serafina Grubbs,NA,779f9ab7e5bb9e86ba11247db7790429d88a57ed,University of Puget Sound,NA,NA,NA,0000-0000-0000-00195,195,FALSE
Carmelita Awender,NA,7cc5f5e53f3ffd79fd4454bf4078db3ba106fc42,Laredo College,NA,NA,NA,0000-0000-0000-00196,196,FALSE
Holley Dasso,NA,9c5376ef59727171683584be554e2a2480c7a9ad,"The Soma Institute, The National School of Clinical Massage Therapy",NA,NA,NA,0000-0000-0000-00197,197,FALSE
Deandra Loge,NA,f366a2e8273a958d321b607fb08d39ef725e6720,Hiram College,NA,NA,NA,0000-0000-0000-00198,198,FALSE
Elden Orum,NA,d8c3b5bf99b6a71d1a68d249cb851fc1bd808fec,Reconstructionist Rabbinical College,NA,NA,NA,0000-0000-0000-00199,199,FALSE
Helaine Skepple,NA,300ce94d568ad1ffc1708c7b8bce9fad7cf44e8f,Illinois College,NA,NA,NA,0000-0000-0000-00200,200,FALSE
Elaine Dantos,NA,b056fab1bba6fb6d5ade24a619f1f887c158cfc9,East Valley Institute of Technology,NA,NA,NA,0000-0000-0000-00201,201,FALSE
Linsey Wosher,NA,bb5c7a33c56f9d24e2cc971ae4d7511c95c63c4e,Remington College,NA,NA,NA,0000-0000-0000-00202,202,FALSE
Carlita Charney,NA,3d850f31fc7a201664e320282921df056637fa7b,Prairie State College,NA,NA,NA,0000-0000-0000-00203,203,FALSE
Polly Leibel,NA,e4f1fa2525803f1d9645f08747198edd1de6fbcc,Sanford-Brown Institute - White Plains,NA,NA,NA,0000-0000-0000-00204,204,FALSE
Herb Beringer,NA,c8da434d9e0d0a3f12ca3e14902c2f3e6786718a,Princeton University,NA,NA,NA,0000-0000-0000-00205,205,FALSE
Marisa Eisenbeisz,NA,fe1c0599bd1b08ceeb1a94d3b4fa803d7414bba1,Saint Josephs College - Suffolk Campus,NA,NA,NA,0000-0000-0000-00206,206,FALSE
Crysta Eusebio,NA,adfb021c06c8f4bcaa06888cafd1539eda493fce,Hamline University,NA,NA,NA,0000-0000-0000-00207,207,FALSE
Venessa Tuff,NA,f7e30d6a91b5ee441831827873a1e8bb8a603c01,Rabbinical Academy Mesivta Rabbi Chaim Berlin,NA,NA,NA,0000-0000-0000-00208,208,FALSE
Keena Glines,NA,0e02072a4399c372be8f9ed32e87b2ba01ce993a,Temple University,NA,NA,NA,0000-0000-0000-00209,209,FALSE
Isabell Houghtelling,NA,5ec9d4d9f38fd2254c2413adca6bd0b348eee2f1,Keene State College,NA,NA,NA,0000-0000-0000-00210,210,FALSE
Sharice Hemby,NA,c7c3b3b5024157ee8ce3fcf7438f6b7d0e4f2f50,Reiss-Davis Graduate Center,NA,NA,NA,0000-0000-0000-00211,211,FALSE
Douglas Mileski,NA,dc6b72f096c1860f8415942376837496840364ef,Yale University,NA,NA,NA,0000-0000-0000-00212,212,FALSE
Mindy Otteman,NA,8d68e41d71751f8fa6e5d887165a5732612fadc0,L'Academie de Cuisine,NA,NA,NA,0000-0000-0000-00213,213,FALSE
Corie Abend,NA,715e3acbf6ae35c634b657b3d70912f4a3f084ad,Summit Christian College,NA,NA,NA,0000-0000-0000-00214,214,FALSE
Ismael Caamano,NA,579fa5f5020571cd1bfd464a56ba2baba020353d,Drew University,NA,NA,NA,0000-0000-0000-00215,215,FALSE
Kimberely Eiser,NA,e83fa4e99ddc77982fa0eed16762cdd91c0f151b,School of Piano Technology for the Blind,NA,NA,NA,0000-0000-0000-00216,216,FALSE
Patrina Oree,NA,7367ab2f4c66be80871211a4f692e3cffbcea480,National Interscholastic Athletic Administrators,NA,NA,NA,0000-0000-0000-00217,217,FALSE
Issac Thammavong,NA,dc689fb846435ece705a63756e7095bbf7fd8770,virtual design and construction institute  d/b/a cadteacher,NA,NA,NA,0000-0000-0000-00218,218,FALSE
Selma Lindler,NA,d5f5007a764d94fa8ba73ca2f6db3904b0f77a02,Pfeiffer University,NA,NA,NA,0000-0000-0000-00219,219,FALSE
Chassidy Spalinger,NA,e86d6afa7443200f18b777f6c51950c2f8df5bbb,West Contra Costa Adult Education,NA,NA,NA,0000-0000-0000-00220,220,FALSE
Christel Shane,NA,08127f936eaa4288c86a98220cbdb8a299bff736,Central Baptist College,NA,NA,NA,0000-0000-0000-00221,221,FALSE
Izola Wahlen,NA,fa7467cf8fc398077bda61025602283a1a6869fc,University of Southern Mississippi,NA,NA,NA,0000-0000-0000-00222,222,FALSE
Loreta Nessler,NA,f0b0ea49842c57cda649545f352241c3497e9c39,The College of New Jersey,NA,NA,NA,0000-0000-0000-00223,223,FALSE
Dusti Mccarville,NA,977208f431b5c6cca39a42326b97838b8887cacd,Oklahoma Panhandle State University,NA,NA,NA,0000-0000-0000-00224,224,FALSE
Ouida Felicione,NA,40461a7c5a729f6db792b7f4d7d57443b1c17cf0,Rocky Vista University,NA,NA,NA,0000-0000-0000-00225,225,FALSE
Julius Gadberry,NA,8a86c2443b362f9fd6c7aac13f271b020e0b0f44,Ohio State University,NA,NA,NA,0000-0000-0000-00226,226,FALSE
Raphael Bridwell,NA,cf763898750086f749f6a2b1df24cc6b2dab3b12,Eckerd College,NA,NA,NA,0000-0000-0000-00227,227,FALSE
Mikel Starghill,NA,64706f268610254f03511ee8ffe1c8a5df867f75,New England School of Communications,NA,NA,NA,0000-0000-0000-00228,228,FALSE
Miles Shepard,NA,bfb6fc4effeb4fd53de8d5609b0ce32920c3024b,Instituto Educativo Premier,NA,NA,NA,0000-0000-0000-00229,229,TRUE
Moriah Wyse,NA,56d60683781b9945bf4b177a2ffcff35556eccf2,Crown College,NA,NA,NA,0000-0000-0000-00230,230,FALSE
Melony Legrand,NA,5630176b63348775e847474c546940824aa2a76a,Seattle Pacific University,NA,NA,NA,0000-0000-0000-00231,231,FALSE
Moon Staggers,NA,9f6a53ba8eee2b8e84169c6beaec4e9e39ea8ac1,Lebanon Valley College,NA,NA,NA,0000-0000-0000-00232,232,FALSE
Neely Dicapua,NA,2f0aa5a1075e4850f8ccdaa8d10009a6fe17bb70,SUNY at Binghamton,NA,NA,NA,0000-0000-0000-00233,233,FALSE
Verline Saragusa,NA,169b833e6730b26771f51842269913c87b9fa144,Hayward Adult School,NA,NA,NA,0000-0000-0000-00234,234,FALSE
Vernon Wendler,NA,2e228d9a7a52d44fe9f2d39a099ec1b0904293ab,Indiana University Northwest,NA,NA,NA,0000-0000-0000-00235,235,FALSE
Vivian Straton,NA,aef8956755e922c18f7be3b8e6b8dc68f42a7c4e,San Francisco School of Massage & Bodywork,NA,NA,NA,0000-0000-0000-00236,236,FALSE
Elnora Derenzi,NA,c730b7bc36fc9acaa34b28af05ffe5394004a634,Central College,NA,NA,NA,0000-0000-0000-00237,237,FALSE
Maris Lohr,NA,e298d04090fad356f5653528034a6729c9431499,Installer Institute,NA,NA,NA,0000-0000-0000-00238,238,FALSE
Oliva Carcamo,NA,afaa5f1f7af864cb25d37b760978e2a385589af7,College of the Sequoias,NA,NA,NA,0000-0000-0000-00239,239,FALSE
Alisha Nunnery,NA,6462de205d4ca10b6de9dfd6c8e60c60a39173b4,ATI College,NA,NA,NA,0000-0000-0000-00240,240,FALSE
Eda Kibbey,NA,881bd46fad7f5db2d48da3e553e096a6d9148475,San Diego Mesa College,NA,NA,NA,0000-0000-0000-00241,241,FALSE
Daniel Sprain,NA,ec0b918f7f0a88daa18931840d1ef317bfc276f4,University of Utah,NA,NA,NA,0000-0000-0000-00242,242,FALSE
Numbers Linen,NA,ed6440fef57d2ffef3314004f2123d564398d2ad,El Dorado Adult School,NA,NA,NA,0000-0000-0000-00243,243,TRUE
Earlene Salazak,NA,82a126b9db014052f6683452af1f531ff983d842,Lamar Institute of Technology,NA,NA,NA,0000-0000-0000-00244,244,FALSE
Gwenn Vogelgesang,NA,7caaf5e2c9b46465217f086d7c881acc77541c06,"Center for Asia-Pacific Exchange, The",NA,NA,NA,0000-0000-0000-00245,245,FALSE
Katheleen Basinger,NA,4a1ce7edfc1439ba9ad8a5de10a6df5ea2c88e34,Gibbs College - Norwalk,NA,NA,NA,0000-0000-0000-00246,246,FALSE
Jamel Ivanoff,NA,a0022d79be214b4f791d837267513e1bf54ccf5e,Indiana University Bloomington,NA,NA,NA,0000-0000-0000-00247,247,FALSE
Tracee Galanga,NA,d8d501ddb4bf89a4095df258c856e66490726711,Southern New Hampshire University,NA,NA,NA,0000-0000-0000-00248,248,FALSE
Randa Roseth,NA,fa50df7e532de146a761c8332fc79147285333ab,New York Law School,NA,NA,NA,0000-0000-0000-00249,249,FALSE
Jarrett Folkner,NA,b35224d8395d8a5ee2b8dc1def02a8f8235340ee,Arkansas Baptist College,NA,NA,NA,0000-0000-0000-00250,250,TRUE
Latoria Austen,NA,468c23572649c16bf34343f6e5adeeb8528bf5a9,Harid Conservatory,NA,NA,NA,0000-0000-0000-00251,251,FALSE
Sebrina Cramp,NA,7ccc209e2834b3ecf7637cd25fed641e291a4994,College of Saint Scholastica,NA,NA,NA,0000-0000-0000-00252,252,FALSE
Kisha Matern,NA,df42860618d67f046b56cc5e007bc56a8c0cf4a7,Belhaven University,NA,NA,NA,0000-0000-0000-00253,253,FALSE
Kerrie Sanchirico,NA,9e019249ca67ef97ce3fa690ef1ebd040792feb5,Logan University,NA,NA,NA,0000-0000-0000-00254,254,FALSE
Lucilla Part,NA,5a32fb8297eccc603658960778f7fcda2444a20f,Trend Setters School,NA,NA,NA,0000-0000-0000-00255,255,FALSE
Danuta Adley,NA,b2ed1f41b973ffd5a1b77bba86a336a47f498f0f,College of Massage Therapy,NA,NA,NA,0000-0000-0000-00256,256,FALSE
Loan Rudel,NA,f58626ca14a331d77cfba5e8d0cf28d3e079662d,William Carey College - LA,NA,NA,NA,0000-0000-0000-00257,257,FALSE
Manuela Quicksey,NA,43cdf6d9082033053f1530b36fa4d8e4c6a2c8b2,Alderson Broaddus University,NA,NA,NA,0000-0000-0000-00258,258,FALSE
Jay Forsmark,NA,dfd03868e747af9a81865a509cc04c74243526e9,College of Mount Saint Vincent,NA,NA,NA,0000-0000-0000-00259,259,FALSE
Tami Abila,NA,2c7ce2d14b547a2611ed8a1690270716f61fe920,Acacia University,NA,NA,NA,0000-0000-0000-00260,260,FALSE
Joannie Wafer,NA,3b3ae4fbd330682d866957639f8c5511fdd3d92f,CES College,NA,NA,NA,0000-0000-0000-00261,261,FALSE
Kent Wilde,NA,f51d329d12b44fd12ec22b1f4c2cbf71d9768682,University of the Rockies,NA,NA,NA,0000-0000-0000-00262,262,FALSE
Ivan Trinca,NA,56e4cd3dc5423651137a3871affa272c469b6d4f,Clarke University,NA,NA,NA,0000-0000-0000-00263,263,FALSE
Leda Cobarrubias,NA,28e101c57c2fbef159ba498133e46a0672dc1c65,Southeastern Institute - Columbia,NA,NA,NA,0000-0000-0000-00264,264,FALSE
Jose Donofrio,NA,23995d51eb95d5b17b59b52043fdbd13d5031363,Ashworth College,NA,NA,NA,0000-0000-0000-00265,265,FALSE
Muoi Witty,NA,be6c0d563e8efd8b6ce21e3f344fd2aea0c19f0e,Yeshiva of Machzikai Hadas,NA,NA,NA,0000-0000-0000-00266,266,FALSE
Malena Devreese,NA,d3c857ec7f5686aa045d126833b564f02d8e74a4,Furman University,NA,NA,NA,0000-0000-0000-00267,267,FALSE
Krissy Ozment,NA,a66d6bcb24ebf5bf8d070fc22ad173da56f1e661,Trinity Christian College,NA,NA,NA,0000-0000-0000-00268,268,FALSE
Nikki Keeley,NA,882dd5369a4e328e62c6d6234623e6f1f72fb1e6,Birmingham School of Massage,NA,NA,NA,0000-0000-0000-00269,269,FALSE
Iraida Cossano,NA,0bf9d1d71d0addda14cfcb3020cd6dab573cb8a1,Marymount College of Fordham University,NA,NA,NA,0000-0000-0000-00270,270,FALSE
Doris Platter,NA,e38964d69fd645f90ae7a3d3181ac06afd42311c,Florida Institute of Traditional Chinese Medicine,NA,NA,NA,0000-0000-0000-00271,271,FALSE
Jeanie Toolan,NA,6e669c37f71ee2d1831d168021c7b909cb163dfc,Delaware Valley University,NA,NA,NA,0000-0000-0000-00272,272,FALSE
Kurtis Ronn,NA,ee08d18a31b714bc35dad2271ea8178f410f6d1f,Mechon L'Hoyroa,NA,NA,NA,0000-0000-0000-00273,273,FALSE
Ileana Schuster,NA,02eefa8431e3bd7af3c9e5b50f9536286d92c0b7,Francis Marion University,NA,NA,NA,0000-0000-0000-00274,274,FALSE
Pete Wieger,NA,212f647012aaa07baabcb2310ef10cdc7f0964ee,Rock Valley College,NA,NA,NA,0000-0000-0000-00275,275,FALSE
Marceline Frankenfield,NA,ac3cd534b0b8831cf83d545dd04af4f06f02eb65,Arirang University,NA,NA,NA,0000-0000-0000-00276,276,FALSE
Peter Boyko,NA,e9e67a46cf7ada557dfb35b43cd1f8939266cf10,Park University,NA,NA,NA,0000-0000-0000-00277,277,FALSE
Latashia Hedgepeth,NA,cdaedf825a0b1412f54a96fd7cba00820f6045ea,Brandman University,NA,NA,NA,0000-0000-0000-00278,278,FALSE
Joline Cobert,NA,3334267c53e0c843df333106ff28865b44ed2fb2,Tri-County Regional Occupational Program,NA,NA,NA,0000-0000-0000-00279,279,FALSE
Patrick Nussey,NA,9f8e9001a468bb6c9b57bf7c2e5533b73f1ce1cd,EINE Electrology/ Esthetics Institute of NE,NA,NA,NA,0000-0000-0000-00280,280,FALSE
Fabian Geisen,NA,554dc77f9b49133b960b51ce55ead9ea5a4f9250,Samford University,NA,NA,NA,0000-0000-0000-00281,281,FALSE
Maddie Costigan,NA,2acac569e8169de78b6ff478a7c8470a983997cf,Purdue University,NA,NA,NA,0000-0000-0000-00282,282,FALSE
Blondell Hebron,NA,332b1b4d02439e50404f44cee631db89203bc7b3,Mesabi Range College,NA,NA,NA,0000-0000-0000-00283,283,FALSE
Megan Sechang,NA,9e1b5270fe852565a9ea31280dbdca0e7e98779b,Fortis Institute - Baltimore,NA,NA,NA,0000-0000-0000-00284,284,FALSE
Hosea Zange,NA,d67b2c4ed64b83d15afe76d32e3a031977c7d6a4,Advanced Computing Institute,NA,NA,NA,0000-0000-0000-00285,285,FALSE
Sherilyn Saffo,NA,559c0c431e938821fa3a8d69f338e61779345d0a,Kaplan College - Panorama City,NA,NA,NA,0000-0000-0000-00286,286,FALSE
Katina Golly,NA,419ed963004f7405ed575e5c0f30a4e1fa14fceb,New York General Consulting,NA,NA,NA,0000-0000-0000-00287,287,FALSE
Damien Spruel,NA,31e737df53b778fe0fea24f01ad3c5847f82bd79,Brightwood College - Riverside,NA,NA,NA,0000-0000-0000-00288,288,FALSE
Scott Choe,NA,a9d6290105a33101bd0ca3b5b57750ea7bc7c612,Capella University,NA,NA,NA,0000-0000-0000-00289,289,FALSE
Lavonne Miesse,NA,4fafef57759203b2ba65ac8c4368e6cd03432a39,Sofia University,NA,NA,NA,0000-0000-0000-00290,290,FALSE
Nicholle Etchinson,NA,fc580217ebeb7f97105dfcd2c709e9626474d201,Indiana County Technology Center,NA,NA,NA,0000-0000-0000-00291,291,FALSE
Exie Schnarr,NA,1925d579488c5e99d5a5c0014524974d545c484d,University of California - Los Angeles,NA,NA,NA,0000-0000-0000-00292,292,FALSE
Jayson Morabito,NA,b87ad80d557ba553f6dc1914e53b25704eb982b9,The University of Texas at Arlington,NA,NA,NA,0000-0000-0000-00293,293,FALSE
Charlette Visvardis,NA,e365ae47e072c4e7099f02587030aebddc031100,De Anza College,NA,NA,NA,0000-0000-0000-00294,294,FALSE
Sherrell Skay,NA,117b6ff993bcc7e9d47293607a4cab12eac3b477,Houston Area Plumbing Joint Apprenticeship Committee,NA,NA,NA,0000-0000-0000-00295,295,FALSE
Latrisha Buntrock,NA,6291ed982a3e5c99a72ed1b22284a42e9a4344d8,Carroll College,NA,NA,NA,0000-0000-0000-00296,296,FALSE
Isaias Mcgavin,NA,611cdd4b5cf9128f1b33277167f74e1318b5a4b0,Lander University,NA,NA,NA,0000-0000-0000-00297,297,FALSE
Zena Lagrone,NA,e48c445a7859d0de304c465542fb2c118a3a5ada,TechSkills - Charlotte,NA,NA,NA,0000-0000-0000-00298,298,FALSE
Obdulia Norcross,NA,f20f01183fdab46d2b49172b7299ff54293e9d95,Internexus Los Angeles,NA,NA,NA,0000-0000-0000-00299,299,FALSE
Ivette Staszak,NA,b6acf4f8a0de20bf20e6dd976927fc84f69aec9e,LaSalle Tech,NA,NA,NA,0000-0000-0000-00300,300,FALSE
Hermelinda Landowski,NA,d15f472149868d168074dabce1546453cd4eb349,Morningside College,NA,NA,NA,0000-0000-0000-00301,301,FALSE
Katlyn Seper,NA,166e320639d23e7e76b3cc2179b13a15c0fbd36a,University of Atlanta,NA,NA,NA,0000-0000-0000-00302,302,FALSE
Tonette Cotten,NA,5e41477f2cf597320b7f8e9796ae2ea4a184b097,National Aviation Academy,NA,NA,NA,0000-0000-0000-00303,303,FALSE
Terrence Mcmicheal,NA,e51fcf02715cd7e522894704715df715cce72165,Aveda Institute New York,NA,NA,NA,0000-0000-0000-00304,304,FALSE
Andrea Majkut,NA,e0f477afe75ca2a62309b5add07cf3216f683538,Space Coast Health Institute,NA,NA,NA,0000-0000-0000-00305,305,FALSE
Krystin Kinch,NA,53ba57b4692b682697f5c7bacbd392ff60bcaafa,Carib Technological Institute,NA,NA,NA,0000-0000-0000-00306,306,FALSE
Marcia Reeh,NA,6b5081dab31878078ca3c0c7893fcc2c267f0b58,Porter and Chester Institute - Enfield,NA,NA,NA,0000-0000-0000-00307,307,TRUE
Nita Hoehne,NA,e657736b54126461a95efd6957015cf1f5539f80,Lipscomb University,NA,NA,NA,0000-0000-0000-00308,308,FALSE
Gerry Tolmich,NA,1c72e35fda4bcc85ea91f397903f767bbba1d640,Rollins College,NA,NA,NA,0000-0000-0000-00309,309,FALSE
Randell Mettert,NA,38ceadb2a926bbdb7f67fe48186b4f5c3400921f,Hallmark University-College of Aeronautics,NA,NA,NA,0000-0000-0000-00310,310,FALSE
Elli Nadelson,NA,79f2d55cc8fdad7e2db14aa8bdf6fb184d89e097,University of Richmond,NA,NA,NA,0000-0000-0000-00311,311,FALSE
Millard Nimz,NA,f4225c71abd7e912d2582922a135e179e0e8cfd7,Atlantic Institute of Oriental Medicine,NA,NA,NA,0000-0000-0000-00312,312,FALSE
Garth Tolen,NA,67f5d20329910a218e8fd62b3886e4150736f6bc,Putnam-Northern-Westchester BOCES,NA,NA,NA,0000-0000-0000-00313,313,FALSE
Lurline Maretti,NA,a3a8c857d8860246d765673fe478f3f79a069ce4,Saint Paul's College,NA,NA,NA,0000-0000-0000-00314,314,FALSE
Nakia Harriger,NA,effe3d11cd83fb75a14b95af6e36587c6644ce55,Woodbury College,NA,NA,NA,0000-0000-0000-00315,315,FALSE
Dane Steff,NA,fdeeb91d374790ebc7d2b43a52747ca58e51ade7,Christ the King Seminary,NA,NA,NA,0000-0000-0000-00316,316,FALSE
Alaine Reinbold,NA,b4086686217edde7b2ac9a48013f12080b8c6e0d,Valencia College,NA,NA,NA,0000-0000-0000-00317,317,FALSE
Majorie Stocke,NA,a29ad4e83a3e1b3c41e3e122abdd6db6437d8eb6,Gateway Seminary,NA,NA,NA,0000-0000-0000-00318,318,FALSE
Lashawnda Montesano,NA,9b8aee99b689977a1ef02efe00ed48d826e6cd9a,Unitek College - Sacramento,NA,NA,NA,0000-0000-0000-00319,319,FALSE
Consuelo Ohle,NA,7fa6f1daf2de9bddcf6411fe78b4297262e68d44,Bennett College for Women,NA,NA,NA,0000-0000-0000-00320,320,FALSE
Peg Guardado,NA,4e65f3021e028bec17e4f831526c22a33961b5ab,Colorado College,NA,NA,NA,0000-0000-0000-00321,321,FALSE
Christina Ladue,NA,9cd1b27a24102af453e36aa8f265699628d95869,Penrose Academy,NA,NA,NA,0000-0000-0000-00322,322,FALSE
Sharolyn Kolat,NA,c3f177958fd69462fec51deef5fab5a4aa65700e,Lamson Institute,NA,NA,NA,0000-0000-0000-00323,323,FALSE
Magaret Cauthorne,NA,6f254e4bce9995efd1f4438aef224ea6a36fee85,ST JOHNS UNIVERSITY-STATEN ISLAND CAMPUS,NA,NA,NA,0000-0000-0000-00324,324,FALSE
Elroy Ladika,NA,6d7a657b1ee76ef36855eb6fe1019e27385d99e2,Veritas Baptist College,NA,NA,NA,0000-0000-0000-00325,325,FALSE
Young Engelhardt,NA,43edbc42586e6e979d3b539a817e64f64073810d,University of Southernmost Florida,NA,NA,NA,0000-0000-0000-00326,326,FALSE
Daniella Wickett,NA,e26ee33aa177485c8b949ea5cc2bc69f147477ab,San Antonio College,NA,NA,NA,0000-0000-0000-00327,327,FALSE
Julieta Trax,NA,7789ea1220843fd3db51c76ff7b2712b491a5f26,Oakland University,NA,NA,NA,0000-0000-0000-00328,328,FALSE
Yajaira Benesh,NA,5a173fa5ab7d76b2026221471b69f69ee477c17b,SIT,NA,NA,NA,0000-0000-0000-00329,329,FALSE
Lashanda Eisenman,NA,242acae365adec9325221bf4990f376afbf5a308,Marian Court College,NA,NA,NA,0000-0000-0000-00330,330,FALSE
Breanna Falvo,NA,e2b51f60ce907dd77c6ea36859540c58230974d8,The Creative Center,NA,NA,NA,0000-0000-0000-00331,331,FALSE
Mika Scarbro,NA,a65b963d3a55bb97dde8720b8a20f6cdf82bff73,University of Charleston,NA,NA,NA,0000-0000-0000-00332,332,FALSE
Delores Beat,NA,66616b54da964aff577e2b341b93201a7e634440,Chestnut Hill College,NA,NA,NA,0000-0000-0000-00333,333,FALSE
Leeanna Gembe,NA,b9d76b6c251bcbba457c28c8af5fa4b5f91f55dc,Cabrini University,NA,NA,NA,0000-0000-0000-00334,334,FALSE
Kiera Zarnick,NA,ce418dc68ca68f14a8fc02e533799cf155e1b479,St. Cloud VA Health Care System,NA,NA,NA,0000-0000-0000-00335,335,FALSE
Glennis Enny,NA,73cbb5f2977c97096dfd6fdda4bd508c7f4ec19f,Foundation College,NA,NA,NA,0000-0000-0000-00336,336,FALSE
Marisha Mccollins,NA,df0f24828cfa1c1786be4b21a7c7167de37e00f9,Western Seminary,NA,NA,NA,0000-0000-0000-00337,337,FALSE
Edmund Lavongsar,NA,4dc1d105ae92e4ef968ceafae3f864ba98b2046e,Infinity College,NA,NA,NA,0000-0000-0000-00338,338,FALSE
Marline Buder,NA,698df8ad33571f4f1a42d072f6ec702b8faf65cb,Kussad Institute of Court Reporting,NA,NA,NA,0000-0000-0000-00339,339,FALSE
Sharon Mapstone,NA,38e352445300046717460527b608248c8efaeca7,Charlotte School of Law,NA,NA,NA,0000-0000-0000-00340,340,FALSE
Dawne Delavina,NA,dd4dd1a89f411e2d9d6b13ae3fab46c76519d170,Lexington College,NA,NA,NA,0000-0000-0000-00341,341,FALSE
Kevin Caulk,NA,1a6ed2f84fc93e375ddf1cb296dfb02b9861e1b8,Practical Nurse Program Canton City Schools,NA,NA,NA,0000-0000-0000-00342,342,FALSE
Nancey Pitcock,NA,d640a6e7dd87d273a857ff005b30e8efb338c154,Miles College,NA,NA,NA,0000-0000-0000-00343,343,FALSE
Shoshana Krupiak,NA,a5ccd7a64acdeedb81e4b2fd26752ccc2cdcbcd3,Bamberg Job Corps Center,NA,NA,NA,0000-0000-0000-00344,344,FALSE
Johnnie Angeletti,NA,c457db08c308a46a4d5c497dbc0aa4dfad8cfb4f,Albion College,NA,NA,NA,0000-0000-0000-00345,345,FALSE
Ha Mcclees,NA,e7f5ca2e39c31b5965d4598787c3ba6e9a2c6ff3,Precision Manufacturing Institute,NA,NA,NA,0000-0000-0000-00346,346,FALSE
Vonda Skutnik,NA,cc684b88dba7570cfc1d6400ff7913bc5f974233,LISMA Queens ESL Center (Queens 2),NA,NA,NA,0000-0000-0000-00347,347,FALSE
Keenan Rusteika,NA,c9855244f66e87128dae9032634559d2f3319680,American Advanced Institute of Technology,NA,NA,NA,0000-0000-0000-00348,348,FALSE
Wayne Phinisee,NA,1cfe1f57b1f31de3152ae6a5abb33e9f6835cd0f,"College of New Rochelle, The",NA,NA,NA,0000-0000-0000-00349,349,FALSE
Samira Zilliox,NA,c6a1ff158688443c202924d3153da3e229a7b84e,Northwest Florida State College,NA,NA,NA,0000-0000-0000-00350,350,FALSE
Ava Millings,NA,551e64ea2d4926ab92766b9bdba4465b60514cbd,Med-Life Institute,NA,NA,NA,0000-0000-0000-00351,351,FALSE
Riva Wixom,NA,7e134bf6304a4b46a2b7e6e670b12682aac64968,Methodist Healthcare,NA,NA,NA,0000-0000-0000-00352,352,FALSE
Thersa Carr,NA,5924a893f57e9175f847be6ac32b66b1661f8db7,Mississippi School of Therapeutic Massage,NA,NA,NA,0000-0000-0000-00353,353,FALSE
Glayds Rolark,NA,39c490dd68eedb4af28d8eb6eb1b6720cef0a85d,Southwestern Christian College,NA,NA,NA,0000-0000-0000-00354,354,FALSE
Joycelyn Quesnell,NA,1c0f3d4c32357bc625420def0ebb76c5f0b19b40,Southeastern Louisiana University,NA,NA,NA,0000-0000-0000-00355,355,FALSE
Marianne Erway,NA,9defa2463a42c4f3d0ef8b3c80bdc315fac25517,Blue Cliff College - Fayetteville,NA,NA,NA,0000-0000-0000-00356,356,FALSE
