article_title,author_number,author_human_id,author_first_name,author_last_name,author_affiliation,year,paper_id,mean_overall_score_for_presentation,mean_acceptance_rate
"Fernsehgewalt und die Einschaltquote: Welches Publikumsbild Fernsehschaffende leitet, wenn sie über Gewaltkriminalität berichten",5,Candra---Crissinger---Johns Hopkins University at ITU,Candra,Crissinger,Johns Hopkins University at ITU,2002,2002---39,2.8333333333333335,0.3333333333333333
"The American Stravinsky: The Style and Aesthetics of Copland's New American Music, the Early Works, 1921-1938",1,Alberta---Marmol---University of Wisconsin - Stevens Point at UW-Marshfield/Wood County,Alberta,Marmol,University of Wisconsin - Stevens Point at UW-Marshfield/Wood County,2002,2002---40,3.4,0
"The American Stravinsky: The Style and Aesthetics of Copland's New American Music, the Early Works, 1921-1938",2,Malissa---Kach---Onondaga-Cortland-Madison BOCES,Malissa,Kach,Onondaga-Cortland-Madison BOCES,2002,2002---40,3.4,0
"The American Stravinsky: The Style and Aesthetics of Copland's New American Music, the Early Works, 1921-1938",3,Mozella---Mccathern---St. Vincent's Hospital Manhattan,Mozella,Mccathern,St. Vincent's Hospital Manhattan,2002,2002---40,3.4,0
"The American Stravinsky: The Style and Aesthetics of Copland's New American Music, the Early Works, 1921-1938",4,Elina---Demel---Cabrini College at George Pepper Middle School,Elina,Demel,Cabrini College at George Pepper Middle School,2002,2002---40,3.4,0
"Mégare et les établissements mégariens de Sicile, de la Propontide et du Pont-Euxin: Histoire et institutions",1,Raphael---Crockarell---Brandman University -  Santa Maria,Raphael,Crockarell,Brandman University -  Santa Maria,2002,2002---41,2.5,0.16666666666666666
"Mégare et les établissements mégariens de Sicile, de la Propontide et du Pont-Euxin: Histoire et institutions",2,Nia---Gosvener---William Woods University at Farmington Public School,Nia,Gosvener,William Woods University at Farmington Public School,2002,2002---41,2.5,0.16666666666666666
"Mégare et les établissements mégariens de Sicile, de la Propontide et du Pont-Euxin: Histoire et institutions",3,Stewart---Luxenberg---Dragon Rises College of Oriental Medicine,Stewart,Luxenberg,Dragon Rises College of Oriental Medicine,2002,2002---41,2.5,0.16666666666666666
Las consecuencias políticas de la expropiación bancaria,1,Olympia---Clabo---McKendree University at Red Bud,Olympia,Clabo,McKendree University at Red Bud,2002,2002---42,3.2,0.4
Las consecuencias políticas de la expropiación bancaria,2,Foster---Desnoyers---Pisgah HS,Foster,Desnoyers,Pisgah HS,2002,2002---42,3.2,0.4
Las consecuencias políticas de la expropiación bancaria,3,Beula---Torry---Kaplan Test Prep,Beula,Torry,Kaplan Test Prep,2002,2002---42,3.2,0.4
Las consecuencias políticas de la expropiación bancaria,4,Siu---Hayduk---Friends University at Saint Francis Health Center / Diabetes Center,Siu,Hayduk,Friends University at Saint Francis Health Center / Diabetes Center,2002,2002---42,3.2,0.4
Las consecuencias políticas de la expropiación bancaria,5,Jenna---Gonda---Nassau Community College,Jenna,Gonda,Nassau Community College,2002,2002---42,3.2,0.4
Las consecuencias políticas de la expropiación bancaria,6,Tonette---Vixayack---Simpson College West Des Moines,Tonette,Vixayack,Simpson College West Des Moines,2002,2002---42,3.2,0.4
Las consecuencias políticas de la expropiación bancaria,7,Alfred---Hanifan---Long Island University at Southampton School District,Alfred,Hanifan,Long Island University at Southampton School District,2002,2002---42,3.2,0.4
Reluctant Representatives: Blackfella bureaucrats speak in Australia’s north,1,Hazel---Uno---Westcliff University,Hazel,Uno,Westcliff University,2002,2002---43,3.5,0.5
Workers' Compensation: Analysis for Its Second Century,1,Mignon---Bakewell---Kellogg Community College,Mignon,Bakewell,Kellogg Community College,2002,2002---44,3.6666666666666665,0.3333333333333333
Workers' Compensation: Analysis for Its Second Century,2,Lizette---Saglibene---Riverside Adult School - Educational Options Center,Lizette,Saglibene,Riverside Adult School - Educational Options Center,2002,2002---44,3.6666666666666665,0.3333333333333333
Modal and Focus Particles in Sign Languages: A Cross-Linguistic Study,1,Nana---Sumerlin---Colby Community College,Nana,Sumerlin,Colby Community College,2002,2002---45,2.8333333333333335,0.3333333333333333
Asian Yearbook of International Law: Volume 21 (2015),1,Nery---Dudek---North Central WV Opportunities Industrialization Center (OIC Training Academy),Nery,Dudek,North Central WV Opportunities Industrialization Center (OIC Training Academy),2002,2002---46,3,0.5
Asian Yearbook of International Law: Volume 21 (2015),2,Mickey---Willhelm---Pennsylvania Highlands Community College - Huntingdon Education Center,Mickey,Willhelm,Pennsylvania Highlands Community College - Huntingdon Education Center,2002,2002---46,3,0.5
Asian Yearbook of International Law: Volume 21 (2015),3,Mana---Sodaro---Stratford University - Glen Allen,Mana,Sodaro,Stratford University - Glen Allen,2002,2002---46,3,0.5
"Global Debates, Local Dilemmas: Sex-selective Abortion in Contemporary Viet Nam",1,Brinda---Berneri---COCA ? Center of Creative Arts,Brinda,Berneri,COCA ? Center of Creative Arts,2002,2002---47,2.8,0
"Global Debates, Local Dilemmas: Sex-selective Abortion in Contemporary Viet Nam",2,"Kanesha---Zordan---DeVry University at Coast Guard - San Pedro, CA",Kanesha,Zordan,"DeVry University at Coast Guard - San Pedro, CA",2002,2002---47,2.8,0
"Global Debates, Local Dilemmas: Sex-selective Abortion in Contemporary Viet Nam",3,Twanna---Wesloh---Empire Beauty School - Lisle,Twanna,Wesloh,Empire Beauty School - Lisle,2002,2002---47,2.8,0
"Global Debates, Local Dilemmas: Sex-selective Abortion in Contemporary Viet Nam",4,Mayra---Felps---Lehigh Valley Hospital & Health Network,Mayra,Felps,Lehigh Valley Hospital & Health Network,2002,2002---47,2.8,0
"Global Debates, Local Dilemmas: Sex-selective Abortion in Contemporary Viet Nam",5,Wava---Schinkel---University of Phoenix at Rockville Learning Center,Wava,Schinkel,University of Phoenix at Rockville Learning Center,2002,2002---47,2.8,0
"Global Debates, Local Dilemmas: Sex-selective Abortion in Contemporary Viet Nam",6,Rudy---Crieghton---Rabbi Jacob Joseph School,Rudy,Crieghton,Rabbi Jacob Joseph School,2002,2002---47,2.8,0
"Global Debates, Local Dilemmas: Sex-selective Abortion in Contemporary Viet Nam",7,Rigoberto---Hiott---Lesley University at Urban Teacher,Rigoberto,Hiott,Lesley University at Urban Teacher,2002,2002---47,2.8,0
Care at a Distance: On the Closeness of Technology,1,Colin---Cappas---Elmhurst College at Elmhurst Memorial Hospital,Colin,Cappas,Elmhurst College at Elmhurst Memorial Hospital,2002,2002---48,3.25,0.25
Rationalitäten der Gewalt: Staatliche Neuordnungen vom 19. bis zum 21. Jahrhundert,1,Earle---Khammixay---Herzing University - St. Louis Park,Earle,Khammixay,Herzing University - St. Louis Park,2002,2002---49,3.75,0.5
Rationalitäten der Gewalt: Staatliche Neuordnungen vom 19. bis zum 21. Jahrhundert,2,Sebrina---Mcfeeters---Mid-Continent University,Sebrina,Mcfeeters,Mid-Continent University,2002,2002---49,3.75,0.5
Rationalitäten der Gewalt: Staatliche Neuordnungen vom 19. bis zum 21. Jahrhundert,3,Evan---Orum---Adams State University at Mesa State College Continuing Ed. Center,Evan,Orum,Adams State University at Mesa State College Continuing Ed. Center,2002,2002---49,3.75,0.5
A Strategy-Based Framework for Accommodating Reductions in the Defense Budget,1,Cassidy---Otomo---Carrington College Branch Campus San Leandro,Cassidy,Otomo,Carrington College Branch Campus San Leandro,2002,2002---50,2.25,0.25
A Strategy-Based Framework for Accommodating Reductions in the Defense Budget,2,Rosetta---Karageorge---Mountain State University - Orlando,Rosetta,Karageorge,Mountain State University - Orlando,2002,2002---50,2.25,0.25
A Strategy-Based Framework for Accommodating Reductions in the Defense Budget,3,Randee---Buggs---Central Louisiana Technical Community College - Oakdale Campus,Randee,Buggs,Central Louisiana Technical Community College - Oakdale Campus,2002,2002---50,2.25,0.25
A Strategy-Based Framework for Accommodating Reductions in the Defense Budget,4,Inez---Goldberg---Dickinson State University,Inez,Goldberg,Dickinson State University,2002,2002---50,2.25,0.25
A Strategy-Based Framework for Accommodating Reductions in the Defense Budget,5,Jessi---Skaer---Brandman University -  Walnut Creek,Jessi,Skaer,Brandman University -  Walnut Creek,2002,2002---50,2.25,0.25
A Strategy-Based Framework for Accommodating Reductions in the Defense Budget,6,Delila---Alirez---Saint Gregory's University - Tulsa College for Working Adults,Delila,Alirez,Saint Gregory's University - Tulsa College for Working Adults,2002,2002---50,2.25,0.25
A Strategy-Based Framework for Accommodating Reductions in the Defense Budget,7,Zola---Maeweather---Everest College - Bremerton,Zola,Maeweather,Everest College - Bremerton,2002,2002---50,2.25,0.25
Building-Blocks of a Data Protection Revolution: The Uneasy Case for Blockchain Technology to Secure Privacy and Identity,1,Katelynn---Speidel---Pacific Oaks College -  Volunteers of America,Katelynn,Speidel,Pacific Oaks College -  Volunteers of America,2002,2002---51,3.6,0.2
Building-Blocks of a Data Protection Revolution: The Uneasy Case for Blockchain Technology to Secure Privacy and Identity,2,Clara---Strachman---Endicott College at New England College of Business,Clara,Strachman,Endicott College at New England College of Business,2002,2002---51,3.6,0.2
Empirical Analysis of Poverty Dynamics: With Case Studies from Sub-Saharan Africa,1,Shanel---Junkins---Olivet Nazarene University at Diocese of Rockford,Shanel,Junkins,Olivet Nazarene University at Diocese of Rockford,2002,2002---52,4,0.16666666666666666
Empirical Analysis of Poverty Dynamics: With Case Studies from Sub-Saharan Africa,2,Carlita---Tramell---Empire Beauty School - Philadelphia Woodhaven Road,Carlita,Tramell,Empire Beauty School - Philadelphia Woodhaven Road,2002,2002---52,4,0.16666666666666666
Empirical Analysis of Poverty Dynamics: With Case Studies from Sub-Saharan Africa,3,Stasia---Akiona---Yeshiva of Nitra Rabbinical College,Stasia,Akiona,Yeshiva of Nitra Rabbinical College,2002,2002---52,4,0.16666666666666666
Empirical Analysis of Poverty Dynamics: With Case Studies from Sub-Saharan Africa,4,Dacia---Lamonica---Gwynedd Mercy College at Kulp Elementary School,Dacia,Lamonica,Gwynedd Mercy College at Kulp Elementary School,2002,2002---52,4,0.16666666666666666
Empirical Analysis of Poverty Dynamics: With Case Studies from Sub-Saharan Africa,5,Conchita---Stimmell---CU at Raleigh,Conchita,Stimmell,CU at Raleigh,2002,2002---52,4,0.16666666666666666
Empirical Analysis of Poverty Dynamics: With Case Studies from Sub-Saharan Africa,6,Burt---Mostert---The Graduate School and University Center of the City University of New York,Burt,Mostert,The Graduate School and University Center of the City University of New York,2002,2002---52,4,0.16666666666666666
Alternative Economies and Spaces: New Perspectives for a Sustainable Economy,1,Delorse---Bourgoin---Long Island University - C.W. Post Campus at Middletown Teacher Center,Delorse,Bourgoin,Long Island University - C.W. Post Campus at Middletown Teacher Center,2002,2002---53,4,0.5
Alternative Economies and Spaces: New Perspectives for a Sustainable Economy,2,Jone---Nelisse---Saint Joseph's University at Einstein Hospital,Jone,Nelisse,Saint Joseph's University at Einstein Hospital,2002,2002---53,4,0.5
Alternative Economies and Spaces: New Perspectives for a Sustainable Economy,3,Jeana---Amano---Milan Institute,Jeana,Amano,Milan Institute,2002,2002---53,4,0.5
Alternative Economies and Spaces: New Perspectives for a Sustainable Economy,4,Marc---Fischer---McDaniel College at Magruder High School,Marc,Fischer,McDaniel College at Magruder High School,2002,2002---53,4,0.5
Alternative Economies and Spaces: New Perspectives for a Sustainable Economy,5,Glenda---Braker---Chatfield College at Findlay Market,Glenda,Braker,Chatfield College at Findlay Market,2002,2002---53,4,0.5
Alternative Economies and Spaces: New Perspectives for a Sustainable Economy,6,Moshe---Starin---Memorial Sloan-Kettering Cancer Center,Moshe,Starin,Memorial Sloan-Kettering Cancer Center,2002,2002---53,4,0.5
Varia lingüística y literaria: 50 años del CELL : I. Lingüística,1,Tiffiny---Stromme---Fairleigh Dickinson University at Monmouth County Graduate Center,Tiffiny,Stromme,Fairleigh Dickinson University at Monmouth County Graduate Center,2002,2002---54,2.75,0.25
Varia lingüística y literaria: 50 años del CELL : I. Lingüística,2,Rolande---Kubilus---Central Louisiana Technical Community College - Ferriday Campus,Rolande,Kubilus,Central Louisiana Technical Community College - Ferriday Campus,2002,2002---54,2.75,0.25
Varia lingüística y literaria: 50 años del CELL : I. Lingüística,3,Oma---Destime---Nonproliferation and National Security Institute,Oma,Destime,Nonproliferation and National Security Institute,2002,2002---54,2.75,0.25
El sistema bipolar en tensión: la crisis de octubre de 1962,1,Sparkle---Tee---American Academy McAllister Institute of Funeral Services,Sparkle,Tee,American Academy McAllister Institute of Funeral Services,2002,2002---55,2.6,0.4
El sistema bipolar en tensión: la crisis de octubre de 1962,2,Alleen---Kowaleski---Central Michigan University at Fort Belvoir Center,Alleen,Kowaleski,Central Michigan University at Fort Belvoir Center,2002,2002---55,2.6,0.4
El sistema bipolar en tensión: la crisis de octubre de 1962,3,Tanesha---Martes---Indiana Wesleyan University at Catholic Diocese of Evansville,Tanesha,Martes,Indiana Wesleyan University at Catholic Diocese of Evansville,2002,2002---55,2.6,0.4
El sistema bipolar en tensión: la crisis de octubre de 1962,4,Kate---Bosio---Minnesota State Community and Technical College at Baudette Lineworker Education,Kate,Bosio,Minnesota State Community and Technical College at Baudette Lineworker Education,2002,2002---55,2.6,0.4
El sistema bipolar en tensión: la crisis de octubre de 1962,5,Marlon---Mokler---University of Phoenix at Arlington Learning Center,Marlon,Mokler,University of Phoenix at Arlington Learning Center,2002,2002---55,2.6,0.4
El sistema bipolar en tensión: la crisis de octubre de 1962,6,Ming---Eckert---Neosho County Community College at Mercy Hospital,Ming,Eckert,Neosho County Community College at Mercy Hospital,2002,2002---55,2.6,0.4
Lande: The Calais 'Jungle' and Beyond,1,Mckenzie---Halliwell---Pennsylvania State University,Mckenzie,Halliwell,Pennsylvania State University,2002,2002---56,2.75,0.5
Lande: The Calais 'Jungle' and Beyond,2,Alanna---Gaietto---Anson College of Cosmetology,Alanna,Gaietto,Anson College of Cosmetology,2002,2002---56,2.75,0.5
Lande: The Calais 'Jungle' and Beyond,3,Shanika---Crudo---Hamrick School,Shanika,Crudo,Hamrick School,2002,2002---56,2.75,0.5
Lande: The Calais 'Jungle' and Beyond,4,Aurelio---Higman---Academia Morales,Aurelio,Higman,Academia Morales,2002,2002---56,2.75,0.5
Lande: The Calais 'Jungle' and Beyond,5,Clelia---Logins---METRO BUSINESS COLLEGE,Clelia,Logins,METRO BUSINESS COLLEGE,2002,2002---56,2.75,0.5
Workers and Dissent in the Redwood Empire,1,Paulina---Lazzaro---The College of Health Care Professions,Paulina,Lazzaro,The College of Health Care Professions,2002,2002---57,2.75,0.25
Workers and Dissent in the Redwood Empire,2,Justine---Delagrange---Friends University at Andover - YMCA,Justine,Delagrange,Friends University at Andover - YMCA,2002,2002---57,2.75,0.25
Workers and Dissent in the Redwood Empire,3,Virgina---Boullion---Governors State University at Simmons Middle School,Virgina,Boullion,Governors State University at Simmons Middle School,2002,2002---57,2.75,0.25
Signature Pieces: On the Institution of Authorship,1,Buddy---Rigsbee---Webster University at Camp LeJeune,Buddy,Rigsbee,Webster University at Camp LeJeune,2002,2002---58,3.6,0
Signature Pieces: On the Institution of Authorship,2,Terrence---Josic---San Francisco Art Institute,Terrence,Josic,San Francisco Art Institute,2002,2002---58,3.6,0
Signature Pieces: On the Institution of Authorship,3,Marnie---Gula---Ivy Tech Community College of Indiana at White County Instructional Center,Marnie,Gula,Ivy Tech Community College of Indiana at White County Instructional Center,2002,2002---58,3.6,0
Signature Pieces: On the Institution of Authorship,4,Emma---Prester---inlingua Florida Orlando,Emma,Prester,inlingua Florida Orlando,2002,2002---58,3.6,0
Signature Pieces: On the Institution of Authorship,5,Kimber---Burgo---Pennsylvania Academy of Cosmetology Arts and Sciences,Kimber,Burgo,Pennsylvania Academy of Cosmetology Arts and Sciences,2002,2002---58,3.6,0
Signature Pieces: On the Institution of Authorship,6,Lacy---Ao---San Jacinto College District,Lacy,Ao,San Jacinto College District,2002,2002---58,3.6,0
International Law and Sexual Violence in Armed Conflicts,1,Zandra---Crutsinger---Waukesha County Technical College,Zandra,Crutsinger,Waukesha County Technical College,2002,2002---59,3,0.25
International Law and Sexual Violence in Armed Conflicts,2,Dixie---Orlove---Buena Vista University at Mason City Center,Dixie,Orlove,Buena Vista University at Mason City Center,2002,2002---59,3,0.25
International Law and Sexual Violence in Armed Conflicts,3,Cindi---Orzalli---Abcott Institute,Cindi,Orzalli,Abcott Institute,2002,2002---59,3,0.25
Army Biometric Applications: Identifying and Addressing Sociocultural Concerns,1,Gladys---Galeana---Seward County Community College,Gladys,Galeana,Seward County Community College,2002,2002---60,3.4,0.6
Army Biometric Applications: Identifying and Addressing Sociocultural Concerns,2,Sherell---Vegar---Case Western Reserve University,Sherell,Vegar,Case Western Reserve University,2002,2002---60,3.4,0.6
Army Biometric Applications: Identifying and Addressing Sociocultural Concerns,3,Adolph---Vandermoon---United Theological Seminary of the Twin Cities,Adolph,Vandermoon,United Theological Seminary of the Twin Cities,2002,2002---60,3.4,0.6
Army Biometric Applications: Identifying and Addressing Sociocultural Concerns,4,"Joette---Bartelt---El Prado Adult School, Frontera Calif. Institution for Women",Joette,Bartelt,"El Prado Adult School, Frontera Calif. Institution for Women",2002,2002---60,3.4,0.6
Army Biometric Applications: Identifying and Addressing Sociocultural Concerns,5,Bulah---Pushaw---Volunteer State Community College,Bulah,Pushaw,Volunteer State Community College,2002,2002---60,3.4,0.6
"Soziale Stadtpolitik: Institutionen, Netzwerke und Diskurse in der Politikgestaltung",1,Kenny---Beverlin---Sheridan VA Health Care System,Kenny,Beverlin,Sheridan VA Health Care System,2002,2002---61,3.2,0.4
"Soziale Stadtpolitik: Institutionen, Netzwerke und Diskurse in der Politikgestaltung",2,Karry---Seagren---Cardinal Stritch University at Prairie View Middle School,Karry,Seagren,Cardinal Stritch University at Prairie View Middle School,2002,2002---61,3.2,0.4
Corruption: Expanding the Focus,1,Gilberto---Feltmann---Morgan Community College at Otis High School,Gilberto,Feltmann,Morgan Community College at Otis High School,2002,2002---62,2.4,0.2
Corruption: Expanding the Focus,2,Grisel---Murga---Ramapo College of New Jersey,Grisel,Murga,Ramapo College of New Jersey,2002,2002---62,2.4,0.2
Corruption: Expanding the Focus,3,Hailey---Gualtieri---Castleton University,Hailey,Gualtieri,Castleton University,2002,2002---62,2.4,0.2
Corruption: Expanding the Focus,4,Gilberte---Rengel---Springfield College SHS Boston Campus,Gilberte,Rengel,Springfield College SHS Boston Campus,2002,2002---62,2.4,0.2
Corruption: Expanding the Focus,5,Gigi---Wriston---Western New Mexico University at Deming Mimbres Education Center,Gigi,Wriston,Western New Mexico University at Deming Mimbres Education Center,2002,2002---62,2.4,0.2
Corruption: Expanding the Focus,6,Sheron---Prosser---Cambridge College at Radius Specialty Hospital,Sheron,Prosser,Cambridge College at Radius Specialty Hospital,2002,2002---62,2.4,0.2
Corruption: Expanding the Focus,7,Shenna---Russomanno---Dakota College Heart of America Medical Center,Shenna,Russomanno,Dakota College Heart of America Medical Center,2002,2002---62,2.4,0.2
Folklore in Utah: A History and Guide to Resources,1,Chanell---Odoherty---John Paul the Great Catholic University,Chanell,Odoherty,John Paul the Great Catholic University,2002,2002---63,3.5,0.5
Folklore in Utah: A History and Guide to Resources,2,Franklin---Elland---Madison Media Institute,Franklin,Elland,Madison Media Institute,2002,2002---63,3.5,0.5
Folklore in Utah: A History and Guide to Resources,3,Aida---Wiggers---Leech Lake Tribal College at Red Lake Nation College,Aida,Wiggers,Leech Lake Tribal College at Red Lake Nation College,2002,2002---63,3.5,0.5
Folklore in Utah: A History and Guide to Resources,4,Kassie---Natalizio---Saint Mary's University of Minnesota at J. W. Smith Elementary,Kassie,Natalizio,Saint Mary's University of Minnesota at J. W. Smith Elementary,2002,2002---63,3.5,0.5
Folklore in Utah: A History and Guide to Resources,5,Twyla---Tippen---Western International University,Twyla,Tippen,Western International University,2002,2002---63,3.5,0.5
"On ""Other War"": Lessons from Five Decades of RAND Counterinsurgency Research",1,Wallace---Bohac---Vallecitos CET Inc,Wallace,Bohac,Vallecitos CET Inc,2002,2002---64,3.6666666666666665,0
"On ""Other War"": Lessons from Five Decades of RAND Counterinsurgency Research",2,Janna---Durrett---University of Phoenix at Oro Grande Elementary School,Janna,Durrett,University of Phoenix at Oro Grande Elementary School,2002,2002---64,3.6666666666666665,0
"On ""Other War"": Lessons from Five Decades of RAND Counterinsurgency Research",3,Kamala---Topolewski---Good Samaritan Hospital,Kamala,Topolewski,Good Samaritan Hospital,2002,2002---64,3.6666666666666665,0
"On ""Other War"": Lessons from Five Decades of RAND Counterinsurgency Research",4,Nannie---Krzal---Labette Community College,Nannie,Krzal,Labette Community College,2002,2002---64,3.6666666666666665,0
"On ""Other War"": Lessons from Five Decades of RAND Counterinsurgency Research",5,Adaline---Mullan---Lehman College of the City University of New York,Adaline,Mullan,Lehman College of the City University of New York,2002,2002---64,3.6666666666666665,0
"On ""Other War"": Lessons from Five Decades of RAND Counterinsurgency Research",6,Dagmar---Barkema---Baker College at Zeeland,Dagmar,Barkema,Baker College at Zeeland,2002,2002---64,3.6666666666666665,0
"Visualizing the Street: New Practices of Documenting, Navigating and Imagining the City",1,Israel---Hagle---Sanford-Brown College - Boston,Israel,Hagle,Sanford-Brown College - Boston,2002,2002---65,2.8,0.2
Islam on the Move: The Tablighi Jama'at in Southeast Asia,1,Alonso---Izsak---Learey Technical Center,Alonso,Izsak,Learey Technical Center,2002,2002---66,3.6,0.6
Islam on the Move: The Tablighi Jama'at in Southeast Asia,2,Louanne---Neally---St. Louis Industry Training Center,Louanne,Neally,St. Louis Industry Training Center,2002,2002---66,3.6,0.6
Islam on the Move: The Tablighi Jama'at in Southeast Asia,3,Sharla---Ankenman---University of Dayton,Sharla,Ankenman,University of Dayton,2002,2002---66,3.6,0.6
Islam on the Move: The Tablighi Jama'at in Southeast Asia,4,Yung---Schock---Friends University at WATC - Jabara Facility,Yung,Schock,Friends University at WATC - Jabara Facility,2002,2002---66,3.6,0.6
Islam on the Move: The Tablighi Jama'at in Southeast Asia,5,Giuseppe---Mandino---Fort Hays State University at Colby Community College,Giuseppe,Mandino,Fort Hays State University at Colby Community College,2002,2002---66,3.6,0.6
Islam on the Move: The Tablighi Jama'at in Southeast Asia,6,"Joselyn---Tharnish---21st Century Preparatory Center, Park Forest SD 163",Joselyn,Tharnish,"21st Century Preparatory Center, Park Forest SD 163",2002,2002---66,3.6,0.6
Transnational Flows and Permissive Polities: Ethnographies of Human Mobilities in Asia,1,Enrique---Rafalko---Spanish-American Institute,Enrique,Rafalko,Spanish-American Institute,2002,2002---67,1.6666666666666667,0.16666666666666666
Transnational Flows and Permissive Polities: Ethnographies of Human Mobilities in Asia,2,Erma---Giandelone---Massachusetts College of Liberal Arts,Erma,Giandelone,Massachusetts College of Liberal Arts,2002,2002---67,1.6666666666666667,0.16666666666666666
Transnational Flows and Permissive Polities: Ethnographies of Human Mobilities in Asia,3,Shari---Gantvoort---Princeton House,Shari,Gantvoort,Princeton House,2002,2002---67,1.6666666666666667,0.16666666666666666
El tirano en la América Latina,1,Olene---Heinzelman---Elkins Park Hospital School of Radiologic Technology,Olene,Heinzelman,Elkins Park Hospital School of Radiologic Technology,2002,2002---68,2.6,0.4
El tirano en la América Latina,2,Cynthia---Levinsky---Harcum College at Chester Education Foundation,Cynthia,Levinsky,Harcum College at Chester Education Foundation,2002,2002---68,2.6,0.4
El tirano en la América Latina,3,Bernita---Torno---Keller Elementary School,Bernita,Torno,Keller Elementary School,2002,2002---68,2.6,0.4
El tirano en la América Latina,4,Irene---Delaluz---Pennsylvania College of Technology,Irene,Delaluz,Pennsylvania College of Technology,2002,2002---68,2.6,0.4
El tirano en la América Latina,5,Jaymie---Munuz---Washington Middle School,Jaymie,Munuz,Washington Middle School,2002,2002---68,2.6,0.4
Countering Piracy in the Modern Era: Notes from a RAND Workshop to Discuss the Best Approaches for Dealing with Piracy in the 21st Century,1,Joanie---Mallette---McKendree University at Joliet Junior College,Joanie,Mallette,McKendree University at Joliet Junior College,2002,2002---69,2.6,0.2
Countering Piracy in the Modern Era: Notes from a RAND Workshop to Discuss the Best Approaches for Dealing with Piracy in the 21st Century,2,Inga---Kempler---Pensacola Campus (MTEC-San Francisco Bay Area),Inga,Kempler,Pensacola Campus (MTEC-San Francisco Bay Area),2002,2002---69,2.6,0.2
Countering Piracy in the Modern Era: Notes from a RAND Workshop to Discuss the Best Approaches for Dealing with Piracy in the 21st Century,3,Orval---Knestrick---Arizona State University at Phoenix Prep Academy,Orval,Knestrick,Arizona State University at Phoenix Prep Academy,2002,2002---69,2.6,0.2
Vertical Readings in Dante's Comedy: Volume 3,1,Colby---Harrellson---Houghton College at Bethel AME,Colby,Harrellson,Houghton College at Bethel AME,2002,2002---70,3.6,0.4
Vertical Readings in Dante's Comedy: Volume 3,2,Lissa---Alhameed---Centenary College at Academy Street School,Lissa,Alhameed,Centenary College at Academy Street School,2002,2002---70,3.6,0.4
Vertical Readings in Dante's Comedy: Volume 3,3,Daine---Reshid---Towson University at Charles Drew Elementary School,Daine,Reshid,Towson University at Charles Drew Elementary School,2002,2002---70,3.6,0.4
Vertical Readings in Dante's Comedy: Volume 3,4,Kymberly---Loethen---The Hair Academy LLC,Kymberly,Loethen,The Hair Academy LLC,2002,2002---70,3.6,0.4
Vertical Readings in Dante's Comedy: Volume 3,5,Hilaria---Goddard---SUNY Empire State College - Utica,Hilaria,Goddard,SUNY Empire State College - Utica,2002,2002---70,3.6,0.4
Vertical Readings in Dante's Comedy: Volume 3,6,Adriana---Desisto---South Georgia Technical College,Adriana,Desisto,South Georgia Technical College,2002,2002---70,3.6,0.4
Vertical Readings in Dante's Comedy: Volume 3,7,Thomasina---Voliva---San Juan Basin Technical College,Thomasina,Voliva,San Juan Basin Technical College,2002,2002---70,3.6,0.4
Bread and Circuses: Theories of Mass Culture as Social Decay,1,Jammie---Lybrand---College of Saint Elizabeth at Mount Olive Middle School,Jammie,Lybrand,College of Saint Elizabeth at Mount Olive Middle School,2002,2002---71,2.75,0
Bread and Circuses: Theories of Mass Culture as Social Decay,2,Joie---Palay---Ashland Theological Seminary,Joie,Palay,Ashland Theological Seminary,2002,2002---71,2.75,0
Bread and Circuses: Theories of Mass Culture as Social Decay,3,"Sigrid---Meharg---Pittsburgh Filmmakers, Inc.",Sigrid,Meharg,"Pittsburgh Filmmakers, Inc.",2002,2002---71,2.75,0
"Equal Opportunities and Ethnic Inequality in European Labour Markets: Discrimination, Gender and Policies of Diversity",1,Fern---Villagrana---Seattle University,Fern,Villagrana,Seattle University,2002,2002---72,1.6666666666666667,0.16666666666666666
"Equal Opportunities and Ethnic Inequality in European Labour Markets: Discrimination, Gender and Policies of Diversity",2,Leonarda---Vautier---Award Beauty School,Leonarda,Vautier,Award Beauty School,2002,2002---72,1.6666666666666667,0.16666666666666666
"Equal Opportunities and Ethnic Inequality in European Labour Markets: Discrimination, Gender and Policies of Diversity",3,Rafael---Ohlmann---Pennsylvania College of Technology at Earth Science Center,Rafael,Ohlmann,Pennsylvania College of Technology at Earth Science Center,2002,2002---72,1.6666666666666667,0.16666666666666666
"Equal Opportunities and Ethnic Inequality in European Labour Markets: Discrimination, Gender and Policies of Diversity",4,Sal---Devine---Baptist Missionary Association Theological Seminary at Central Baptist College,Sal,Devine,Baptist Missionary Association Theological Seminary at Central Baptist College,2002,2002---72,1.6666666666666667,0.16666666666666666
"Equal Opportunities and Ethnic Inequality in European Labour Markets: Discrimination, Gender and Policies of Diversity",5,Terence---Simpton---Riverside Campus,Terence,Simpton,Riverside Campus,2002,2002---72,1.6666666666666667,0.16666666666666666
"Equal Opportunities and Ethnic Inequality in European Labour Markets: Discrimination, Gender and Policies of Diversity",6,Valorie---Gallusser---Johns Hopkins University at Talbot County Board of Education Building,Valorie,Gallusser,Johns Hopkins University at Talbot County Board of Education Building,2002,2002---72,1.6666666666666667,0.16666666666666666
